Сценарий,Навык,Роль,Вес,scripts.id,skills.id,roles.id
Календарное планирование,Связь задач графика, разработанного без использования информационной модели, с элементами информационной модели,BIM-координатор,3,SC.10,SK.70,R.1
Календарное планирование,Выявление пространственно-временных коллизий,BIM-координатор,3,SC.10,SK.71,R.1
Календарное планирование,Разработка аналитического дашборда распределения работ во времени,Аналитик данных,3,SC.10,SK.72,R.7
Календарное планирование,Разработка аналитического дашборда распределения работ во времени,BIM-менеджер,1,SC.10,SK.72,R.0
Операционное сопровождение строительства,Разработка аналитического дашборда операционного сопровождения строительства,Аналитик данных,3,SC.11,SK.73,R.7
Операционное сопровождение строительства,Разработка аналитического дашборда операционного сопровождения строительства,BIM-менеджер,1,SC.11,SK.73,R.0
Контроль качества строительства,Учёт нарушений строительного производства с привязкой к элементам информационной модели,Инженер строительного контроля,2,SC.12,SK.74,R.13
Контроль качества строительства,Учёт нарушений строительного производства с привязкой к чертежам,Инженер строительного контроля,2,SC.12,SK.75,R.13
Контроль качества строительства,Определение отклонений облака точек от поверхностей информационной модели,BIM-координатор,3,SC.12,SK.76,R.1
Контроль качества строительства,Определение отклонений облака точек от поверхностей информационной модели,Инженер строительного контроля,2,SC.12,SK.76,R.13
Контроль качества строительства,Объединение результатов тахеометрической съёмки с трёхмерной информационной моделью,BIM-моделер,3,SC.12,SK.77,R.4
Контроль качества строительства,Объединение результатов тахеометрической съёмки с трёхмерной информационной моделью,Проектировщик,2,SC.12,SK.77,R.3
Контроль качества строительства,Определение отклонений результатов тахеометрической съёмки от поверхностей элементов информационной модели,BIM-координатор,3,SC.12,SK.78,R.1
Контроль качества строительства,Определение отклонений результатов тахеометрической съёмки от поверхностей элементов информационной модели,Инженер строительного контроля,2,SC.12,SK.78,R.13
Контроль качества строительства,Разработка аналитического дашборда управления качеством строительства,Аналитик данных,3,SC.12,SK.79,R.7
Изыскания,Формирование BIM-требований для лазерного сканирования объекта,BIM-менеджер,2,SC.13,SK.80,R.0
Изыскания,Формирование BIM-требований для лазерного сканирования объекта,Геодезист,2,SC.13,SK.80,R.14
Изыскания,Лазерное сканирование,Геодезист,3,SC.13,SK.81,R.14
Изыскания,Формирование BIM-требований для фотограмметрического анализа объекта,Геодезист,3,SC.13,SK.82,R.14
Изыскания,Управление БПЛА,Геодезист,3,SC.13,SK.83,R.14
Изыскания,Фотограмметрическая съёмка,Геодезист,3,SC.13,SK.84,R.14
Изыскания,Фотограмметрическая обработка результатов съёмки,Геодезист,3,SC.13,SK.85,R.14
Изыскания,Объединение и нормализация облаков точек,BIM-моделер,3,SC.13,SK.86,R.4
Изыскания,Объединение и нормализация облаков точек,Геодезист,2,SC.13,SK.86,R.14
Изыскания,Объединение облака сточек с трёхмерной информационной моделью,BIM-моделер,3,SC.13,SK.87,R.4
Изыскания,Объединение облака сточек с трёхмерной информационной моделью,Проектировщик,2,SC.13,SK.87,R.3
Изыскания,Определение отклонений облака точек от поверхностей информационной модели,BIM-координатор,3,SC.13,SK.76,R.1
Изыскания,Определение отклонений облака точек от поверхностей информационной модели,Инженер строительного контроля,2,SC.13,SK.76,R.13
Изыскания,Формирование BIM-требований для тахеометрической съёмки объекта,BIM-менеджер,2,SC.13,SK.88,R.0
Изыскания,Объединение результатов тахеометрической съёмки с трёхмерной информационной моделью,BIM-моделер,3,SC.13,SK.77,R.4
Изыскания,Объединение результатов тахеометрической съёмки с трёхмерной информационной моделью,Проектировщик,2,SC.13,SK.77,R.3
Изыскания,Определение отклонений результатов тахеометрической съёмки от поверхностей элементов информационной модели,BIM-координатор,3,SC.13,SK.78,R.1
Изыскания,Определение отклонений результатов тахеометрической съёмки от поверхностей элементов информационной модели,Инженер строительного контроля,2,SC.13,SK.78,R.13
Изыскания,Моделирование зданий и сооружений по облакам точек,BIM-моделер,3,SC.13,SK.89,R.4
Изыскания,Моделирование зданий и сооружений по облакам точек,Проектировщик,3,SC.13,SK.89,R.3
Изыскания,Моделирование территории по облакам точек,BIM-моделер,3,SC.13,SK.90,R.4
Изыскания,Моделирование территории по облакам точек,Проектировщик,3,SC.13,SK.90,R.3
Изыскания,Разработка трехмерной цифровой модели геологической среды,BIM-моделер,3,SC.13,SK.91,R.4
Изыскания,Разработка трехмерной цифровой модели геологической среды,Проектировщик,3,SC.13,SK.91,R.3
Презентации,Демонстрация BIM-возможностей компании заказчикам (участникам рынка),BIM-менеджер,3,SC.14,SK.92,R.0
Презентации,Разработка презентаций PPT,BIM-менеджер,2,SC.14,SK.93,R.0
Презентации,Участие в публичных мероприятих, форумах и конференциях в качестве спикера,BIM-менеджер,2,SC.14,SK.94,R.0
Презентации,Участие в публичных мероприятих, форумах и конференциях в качестве спикера,BIM-координатор,1,SC.14,SK.94,R.1
Под вопросом,Разработка классификаторов работ,Инженер ПТО,3,,,R.11
Под вопросом,Разработка классификаторов работ,BIM-менеджер,1,,,R.0
